Year,Total Cost ($),Total carbon_emissions_per_km
2023,25660762.76,18217146.51
2024,27425854.1,19013318.83
2025,28266368.64,19484759.03
2026,31394630.78,17878604.7
2027,32122046.39,20291394.67
2028,33654203.82,19603097.72
2029,36482163.52,21284872.01
2030,38115546.48,21068672.1
2031,39461782.22,21497520.81
2032,42260519.47,21657791.98
2033,44354270.76,22841110.58
2034,39941234.68,19035549.38
2035,48441348.09,24650699.05
2036,51137072.16,25216409.16
2037,46656729.88,20513111.57
2038,57677969.27,25276934.65
